TestName	seed	FacLoc	FacScale	CellN	deProb	deDown	Rep	Test
9624_0_0_100_0.25_0.5	9624	0.8	0.4	100	0.25	0.5	2	13
8336_0_0_100_0.25_0.5	8336	0.8	0.4	100	0.25	0.5	3	13
9771_0_0_100_0.25_0.5	9771	0.8	0.4	100	0.25	0.5	4	13
7819_0_0_100_0.25_0.5	7819	0.8	0.4	100	0.25	0.5	5	13
6948_0_0_250_0.25_0.5	6948	0.8	0.4	250	0.25	0.5	1	14
5352_0_0_250_0.25_0.5	5352	0.8	0.4	250	0.25	0.5	2	14
6534_0_0_250_0.25_0.5	6534	0.8	0.4	250	0.25	0.5	3	14
2054_0_0_250_0.25_0.5	2054	0.8	0.4	250	0.25	0.5	4	14
6051_0_0_250_0.25_0.5	6051	0.8	0.4	250	0.25	0.5	5	14
9485_0_0_750_0.25_0.5	9485	0.8	0.4	750	0.25	0.5	1	15
2940_0_0_750_0.25_0.5	2940	0.8	0.4	750	0.25	0.5	2	15
2815_0_0_750_0.25_0.5	2815	0.8	0.4	750	0.25	0.5	3	15
5895_0_0_750_0.25_0.5	5895	0.8	0.4	750	0.25	0.5	4	15
2695_0_0_750_0.25_0.5	2695	0.8	0.4	750	0.25	0.5	5	15
2047_0_0_1000_0.25_0.5	2047	0.8	0.4	1000	0.25	0.5	1	16
6627_0_0_1000_0.25_0.5	6627	0.8	0.4	1000	0.25	0.5	2	16
1133_0_0_1000_0.25_0.5	1133	0.8	0.4	1000	0.25	0.5	3	16
2782_0_0_1000_0.25_0.5	2782	0.8	0.4	1000	0.25	0.5	4	16
888_0_0_1000_0.25_0.5	888	0.8	0.4	1000	0.25	0.5	5	16
2399_0_0_2000_0.25_0.5	2399	0.8	0.4	2000	0.25	0.5	1	17
7741_0_0_2000_0.25_0.5	7741	0.8	0.4	2000	0.25	0.5	2	17
8317_0_0_2000_0.25_0.5	8317	0.8	0.4	2000	0.25	0.5	3	17
9626_0_0_2000_0.25_0.5	9626	0.8	0.4	2000	0.25	0.5	4	17
8931_0_0_2000_0.25_0.5	8931	0.8	0.4	2000	0.25	0.5	5	17
3069_0_0_500_0_0.5	3069	0.8	0.4	500	0	0.5	1	18
4382_0_0_500_0_0.5	4382	0.8	0.4	500	0	0.5	2	18
9578_0_0_500_0_0.5	9578	0.8	0.4	500	0	0.5	3	18
915_0_0_500_0_0.5	915	0.8	0.4	500	0	0.5	4	18
6043_0_0_500_0_0.5	6043	0.8	0.4	500	0	0.5	5	18
7928_0_0_500_0.05_0.5	7928	0.8	0.4	500	0.05	0.5	1	19
6910_0_0_500_0.05_0.5	6910	0.8	0.4	500	0.05	0.5	2	19
8575_0_0_500_0.05_0.5	8575	0.8	0.4	500	0.05	0.5	3	19
382_0_0_500_0.05_0.5	382	0.8	0.4	500	0.05	0.5	4	19
9131_0_0_500_0.05_0.5	9131	0.8	0.4	500	0.05	0.5	5	19
1839_0_0_500_0.2_0.5	1839	0.8	0.4	500	0.2	0.5	1	20
3994_0_0_500_0.2_0.5	3994	0.8	0.4	500	0.2	0.5	2	20
4398_0_0_500_0.2_0.5	4398	0.8	0.4	500	0.2	0.5	3	20
8840_0_0_500_0.2_0.5	8840	0.8	0.4	500	0.2	0.5	4	20
4208_0_0_500_0.2_0.5	4208	0.8	0.4	500	0.2	0.5	5	20
2537_0_0_500_0.5_0.5	2537	0.8	0.4	500	0.5	0.5	1	21
222_0_0_500_0.5_0.5	222	0.8	0.4	500	0.5	0.5	2	21
8025_0_0_500_0.5_0.5	8025	0.8	0.4	500	0.5	0.5	3	21
8504_0_0_500_0.5_0.5	8504	0.8	0.4	500	0.5	0.5	4	21
6666_0_0_500_0.5_0.5	6666	0.8	0.4	500	0.5	0.5	5	21
3648_0_0_500_0.75_0.5	3648	0.8	0.4	500	0.75	0.5	1	22
6160_0_0_500_0.75_0.5	6160	0.8	0.4	500	0.75	0.5	2	22
5846_0_0_500_0.75_0.5	5846	0.8	0.4	500	0.75	0.5	3	22
1605_0_0_500_0.75_0.5	1605	0.8	0.4	500	0.75	0.5	4	22
